epoch,accuracy,loss,val_accuracy,val_loss
0,0.6893616914749146,0.7761898040771484,0.8421052694320679,0.37164828181266785
1,0.9170212745666504,0.2537716031074524,0.8947368264198303,0.29395046830177307
2,0.9531915187835693,0.14663293957710266,0.9210526347160339,0.16994205117225647
3,0.9723404049873352,0.10031156241893768,0.9298245906829834,0.15199336409568787
4,0.9914893507957458,0.05602070689201355,0.9385964870452881,0.15296268463134766
5,0.9978723526000977,0.03776899725198746,0.9210526347160339,0.21354036033153534
6,0.9978723526000977,0.02527521178126335,0.9385964870452881,0.1516023576259613
7,1.0,0.01648060232400894,0.9210526347160339,0.18537741899490356
8,1.0,0.014030198566615582,0.9298245906829834,0.1754651516675949
9,1.0,0.010774500668048859,0.9298245906829834,0.184988871216774
